episode,frame,running_reward,max_reward,time
20,10000,151.25,385.0,222.19435906410217
41,20000,147.6829268292683,410.0,445.9488670825958
57,30000,160.87719298245614,500.0,670.8059689998627
76,40000,155.72368421052633,535.0,896.2023041248322
95,50000,160.6315789473684,610.0,1123.9245460033417
114,60000,159.4,610.0,1358.9143109321594
133,70000,162.1,610.0,1595.4302949905396
154,80000,151.6,610.0,1832.0398530960083
174,90000,149.55,610.0,2070.895952939987
192,100000,148.0,395.0,2311.6993429660797
211,110000,154.1,395.0,2555.0825419425964
232,120000,145.4,410.0,2798.905105113983
252,130000,151.2,410.0,3044.205920934677
273,140000,146.55,410.0,3293.515825986862
293,150000,139.6,410.0,3540.669002056122
313,160000,138.55,440.0,3788.5656111240387
332,170000,144.6,440.0,4043.483663082123
352,180000,147.6,490.0,4303.468425989151
372,190000,153.2,490.0,4566.510815143585
391,200000,158.55,515.0,4829.89865899086
412,210000,163.65,515.0,5084.528557062149
432,220000,165.8,515.0,5342.163031101227
453,230000,161.0,515.0,5606.803776979446
471,240000,165.35,515.0,5866.734111070633
489,250000,168.4,515.0,6136.54686498642
508,260000,172.05,515.0,6398.731111049652
528,270000,168.65,515.0,6660.292474985123
547,280000,172.55,515.0,6934.499019145966
566,290000,170.7,515.0,7201.102822065353
584,300000,174.4,610.0,7463.2871861457825
604,310000,165.35,610.0,7724.449558019638
623,320000,167.75,610.0,7991.382571935654
645,330000,167.3,610.0,8257.32550406456
667,340000,159.1,610.0,8520.046508073807
687,350000,155.8,550.0,8783.049143075943
704,360000,161.25,550.0,9046.460724115372
724,370000,159.0,590.0,9310.978949069977
745,380000,166.4,590.0,9575.678985118866
765,390000,177.6,715.0,9841.141930103302
785,400000,177.45,715.0,10107.275663137436
802,410000,185.55,775.0,10374.672369003296
824,420000,180.1,775.0,10642.54384303093
843,430000,178.95,775.0,10910.613997936249
862,440000,173.65,775.0,11179.420689105988
881,450000,184.95,775.0,11448.887520074844
899,460000,171.55,515.0,11718.77645611763
918,470000,175.45,515.0,11993.558558940887
936,480000,183.05,565.0,12269.443686962128
953,490000,189.45,675.0,12544.60812997818
972,500000,189.45,675.0,12820.116699934006
992,510000,186.7,675.0,13096.172490119934
1011,520000,179.35,675.0,13372.79549407959
1028,530000,179.7,675.0,13649.793560028076
1046,540000,183.85,675.0,13927.238057136536
