episode,reward,running_reward,max_reward,epsilon,loss,time_since_start
19,20.0,152.89473684210526,355.0,0.9910000000002963,0.00046724447747692466,549.4761021137238
39,130.0,141.4102564102564,535.0,0.9820000000005926,0.0009043073514476418,1150.1069269180298
58,105.0,141.63793103448276,535.0,0.9730000000008889,0.000504697032738477,1791.3183090686798
78,75.0,148.26923076923077,535.0,0.9640000000011852,0.13862425088882446,2489.246029138565
98,55.0,147.80612244897958,535.0,0.9550000000014816,0.14029255509376526,3230.455274105072
117,315.0,148.9,535.0,0.9460000000017779,0.7658194303512573,4023.5373060703278
137,120.0,153.8,470.0,0.9370000000020742,1.8306851387023926,4866.099431037903
156,30.0,156.25,470.0,0.9280000000023705,0.9083821177482605,5746.7553651332855
174,180.0,157.8,455.0,0.9190000000026668,0.4537724554538727,6690.2003400325775
195,185.0,155.75,460.0,0.9100000000029631,0.041575174778699875,7685.098770141602
