episode,reward,running_reward,max_reward,epsilon,loss,time_since_start
0,160.0,160.0,160.0,1.0,0.6248648762702942,3.6981120109558105
20,145.0,152.5,160.0,0.4524450640091191,0.2221878468990326,83.72497606277466
40,55.0,120.0,160.0,0.2211457981137536,0.4239872395992279,177.55418395996094
60,115.0,118.75,160.0,0.14599325536892532,0.5365618467330933,267.84701704978943
80,240.0,143.0,240.0,0.11769699344565647,0.5208856463432312,356.4470000267029
100,230.0,157.5,240.0,0.1059954135184558,0.5468240976333618,457.74262714385986
120,290.0,176.42857142857142,290.0,0.10173949486450687,1.5583504438400269,571.4549980163574
140,55.0,161.25,290.0,0.10049149415252129,1.4901502132415771,688.3447561264038
160,215.0,167.22222222222223,290.0,0.10013664004266806,1.3614641427993774,811.8659801483154
180,95.0,160.0,290.0,0.10003799862756284,1.4505261182785034,928.1972410678864
200,125.0,156.8181818181818,290.0,0.10001103586079224,0.9395480155944824,1040.284970998764
220,205.0,160.83333333333334,290.0,0.10000349400989011,1.7994375228881836,1148.5094139575958
240,70.0,153.84615384615384,290.0,0.10000114002482936,3.968611240386963,1246.0206730365753
