episode,reward,running_reward,max_reward,epsilon,loss,time_since_start
1740,185.0,193.8068181818182,505.0,0.1,0.24849918484687805,9028.392168998718
1760,60.0,192.30337078651687,475.0,0.1,0.11326512694358826,9133.8729159832
1780,440.0,195.05555555555554,475.0,0.1,0.6946059465408325,9245.567682027817
1800,135.0,194.3956043956044,475.0,0.1,0.2544165849685669,9369.425853967667
1820,35.0,192.66304347826087,475.0,0.1,5.366751670837402,9500.847692012787
1840,450.0,195.43010752688173,490.0,0.1,3.6264989376068115,9625.242326974869
1860,175.0,195.2127659574468,595.0,0.1,0.54857337474823,9745.45186495781
1880,110.0,194.31578947368422,595.0,0.1,0.7787602543830872,9858.42108297348
1900,80.0,193.125,595.0,0.1,0.4440954923629761,9959.790845155716
1920,80.0,191.95876288659792,595.0,0.1,0.10931152105331421,10086.176812171936
1940,85.0,190.8673469387755,595.0,0.1,0.26664188504219055,10184.287425041199
1960,155.0,190.5050505050505,580.0,0.1,0.514450192451477,10303.419476985931
1980,45.0,189.05,580.0,0.1,1.0198917388916016,10406.070639133453
2000,115.0,188.35,580.0,0.1,1.8512861728668213,10518.852777004242
2020,540.0,189.05,545.0,0.1,0.10986308008432388,10638.07632803917
2040,120.0,189.2,545.0,0.1,0.700387179851532,10768.803308010101
2060,435.0,192.7,545.0,0.1,0.0601864755153656,10882.654677152634
2080,75.0,188.65,690.0,0.1,0.9487046599388123,11009.787024021149
2100,350.0,191.1,690.0,0.1,0.08985915035009384,11133.07840514183
2120,110.0,187.3,690.0,0.1,1.0652201175689697,11246.672013998032
2140,205.0,188.7,690.0,0.1,0.19895775616168976,11367.009515047073
2160,220.0,189.8,690.0,0.1,0.40729472041130066,11474.025745153427
2180,35.0,188.25,665.0,0.1,0.8141746520996094,11596.371616125107
2200,325.0,190.35,665.0,0.1,0.09576737880706787,11719.260135173798
2220,155.0,188.3,665.0,0.1,0.12498070299625397,11844.482275009155
2240,130.0,187.8,590.0,0.1,0.08583256602287292,11976.568027973175
