episode,frame,running_reward,max_reward,time
5082,3260000,308.15,730.0,100613.09809303284
5096,3270000,310.95,815.0,100940.80868506432
5112,3280000,312.45,815.0,101269.84541296959
5128,3290000,301.3,815.0,101598.65986204147
5144,3300000,304.05,815.0,101926.6222140789
5159,3310000,295.45,815.0,102254.5220940113
5173,3320000,293.7,815.0,102582.89813709259
5186,3330000,295.3,815.0,102910.77982902527
5198,3340000,297.55,885.0,103238.23202204704
5213,3350000,301.3,885.0,103567.48038697243
5229,3360000,299.1,885.0,103897.50223994255
5244,3370000,309.05,905.0,104226.97938108444
5257,3380000,321.3,905.0,104556.18911004066
5271,3390000,321.8,905.0,104886.03634500504
5283,3400000,327.65,905.0,105215.1793460846
5294,3410000,323.9,905.0,105544.7419860363
5310,3420000,323.95,905.0,105874.98087406158
5325,3430000,321.8,905.0,106205.07544207573
5341,3440000,317.3,1000.0,106535.28579306602
5358,3450000,314.25,1000.0,106865.6665520668
5373,3460000,308.55,1000.0,107194.88070702553
5388,3470000,294.15,1000.0,107525.10764408112
5403,3480000,298.0,1000.0,107855.62519812584
5418,3490000,307.85,1000.0,108185.42201113701
5432,3500000,302.0,970.0,108515.66300106049
5447,3510000,307.75,970.0,108845.87541508675
5462,3520000,321.35,970.0,109176.01078605652
5476,3530000,315.2,970.0,109506.8130800724
5491,3540000,313.3,970.0,109837.42548012733
5506,3550000,302.75,665.0,110167.68440413475
5522,3560000,297.8,665.0,110498.07648611069
5535,3570000,307.15,755.0,110827.43889904022
5548,3580000,309.0,765.0,111157.8658311367
5562,3590000,306.7,765.0,111487.57657694817
5576,3600000,309.75,765.0,111817.85166811943
5589,3610000,310.4,765.0,112147.40151500702
5601,3620000,324.6,805.0,112477.62816905975
5617,3630000,325.5,805.0,112810.70017004013
5632,3640000,327.5,830.0,113143.01056909561
5646,3650000,320.8,830.0,113476.32397198677
5661,3660000,314.7,830.0,113809.75797605515
5673,3670000,317.45,830.0,114141.44416594505
5689,3680000,318.8,830.0,114473.65955901146
5703,3690000,312.7,830.0,114805.44332408905
5717,3700000,316.6,830.0,115137.219217062
5729,3710000,324.8,830.0,115469.71218895912
5744,3720000,319.25,695.0,115800.89763092995
5761,3730000,307.25,695.0,116134.03555107117
5777,3740000,303.95,635.0,116465.90288901329
5792,3750000,298.3,610.0,116798.19483494759
5808,3760000,294.85,640.0,117129.4911661148
5824,3770000,286.95,675.0,117460.6849720478
5839,3780000,284.05,675.0,117792.35424494743
5851,3790000,299.95,730.0,118123.38486409187
5867,3800000,308.75,730.0,118455.00825095177
5882,3810000,319.95,730.0,118786.58116793633
5896,3820000,329.5,800.0,119117.57027196884
5912,3830000,324.85,800.0,119449.01875400543
5927,3840000,329.3,800.0,119779.39916014671
5941,3850000,325.85,800.0,120109.3312330246
5954,3860000,322.4,800.0,120439.71534204483
5968,3870000,324.6,800.0,120770.75260901451
5984,3880000,318.45,800.0,121101.51304912567
5999,3890000,318.1,805.0,121431.54128098488
6013,3900000,321.2,805.0,121766.05770206451
6027,3910000,318.55,805.0,122100.45807003975
6041,3920000,323.95,805.0,122435.42800092697
6054,3930000,324.05,805.0,122770.07657909393
6067,3940000,338.6,805.0,123104.04819893837
6084,3950000,333.85,805.0,123437.93765711784
6098,3960000,333.25,760.0,123771.86157798767
6112,3970000,333.0,760.0,124104.21560406685
6124,3980000,346.95,760.0,124436.07554101944
6139,3990000,339.5,760.0,124767.95310211182
6152,4000000,336.9,760.0,125100.54080796242
6166,4010000,330.5,850.0,125433.08829808235
6183,4020000,322.9,850.0,125765.25454998016
6200,4030000,314.5,850.0,126097.0209031105
6212,4040000,325.9,955.0,126428.80052900314
6229,4050000,304.35,955.0,126761.22507500648
6242,4060000,312.15,955.0,127093.08204007149
6256,4070000,301.45,955.0,127425.73810601234
6272,4080000,299.75,955.0,127758.48847198486
6283,4090000,318.95,955.0,128090.89131212234
6298,4100000,331.4,955.0,128424.07953596115
6313,4110000,319.4,805.0,128756.01154208183
6325,4120000,335.35,805.0,129088.50971913338
6340,4130000,332.7,805.0,129430.577105999
6353,4140000,337.45,805.0,129774.53533101082
6368,4150000,342.4,805.0,130129.51152706146
6385,4160000,315.3,625.0,130485.1837580204
6400,4170000,312.6,625.0,130849.84374308586
6413,4180000,322.9,625.0,131203.4805290699
6430,4190000,304.65,710.0,131546.1689040661
6442,4200000,311.9,710.0,131885.6864180565
6457,4210000,318.35,710.0,132224.7344031334
6470,4220000,315.5,710.0,132563.73244810104
6483,4230000,332.4,710.0,132914.64105796814
6497,4240000,346.35,870.0,133265.7891910076
6511,4250000,340.9,870.0,133606.7843720913
6523,4260000,343.75,870.0,133941.08534908295
6535,4270000,360.1,870.0,134282.59036803246
6552,4280000,343.9,870.0,134621.41832995415
6564,4290000,361.7,870.0,134950.4927330017
6577,4300000,353.65,870.0,135279.21570396423
6591,4310000,354.05,870.0,135609.50131702423
6601,4320000,355.0,825.0,135942.4074549675
6615,4330000,366.15,860.0,136278.3785920143
6627,4340000,373.55,860.0,136614.73225092888
6640,4350000,366.85,860.0,136950.58969306946
6653,4360000,380.5,860.0,137288.84956407547
6666,4370000,375.95,860.0,137623.81174111366
6681,4380000,372.35,860.0,137958.42048096657
6695,4390000,373.1,860.0,138294.0652410984
6708,4400000,354.7,845.0,138628.824518919
6722,4410000,355.9,845.0,138961.47191810608
6736,4420000,345.95,845.0,139293.1594209671
6749,4430000,351.7,845.0,139625.0676870346
6763,4440000,350.05,845.0,139957.23447203636
6777,4450000,348.95,760.0,140288.3272371292
6790,4460000,353.75,760.0,140621.2373869419
6807,4470000,339.1,760.0,140953.8793179989
6818,4480000,355.35,995.0,141285.07571291924
6832,4490000,355.7,995.0,141617.18233394623
6848,4500000,345.85,995.0,141949.10858011246
6860,4510000,348.5,995.0,142279.92412996292
6874,4520000,343.6,995.0,142611.60306811333
6890,4530000,330.65,995.0,142943.2776620388
6902,4540000,338.5,995.0,143274.2396390438
6916,4550000,344.0,905.0,143604.23633909225
6931,4560000,342.6,905.0,143935.98166012764
6946,4570000,339.0,905.0,144266.60820007324
6962,4580000,343.35,905.0,144597.34584498405
6975,4590000,344.0,905.0,144932.54810094833
6988,4600000,356.8,905.0,145264.56790614128
7001,4610000,354.6,905.0,145597.19511413574
7014,4620000,351.0,905.0,145930.19898605347
7028,4630000,341.25,860.0,146262.7519171238
7041,4640000,346.3,860.0,146595.55817103386
7053,4650000,355.35,1260.0,146928.5247759819
7065,4660000,361.25,1260.0,147260.94964504242
7083,4670000,339.3,1260.0,147594.21685695648
7094,4680000,346.8,1260.0,147928.1672680378
7108,4690000,342.45,1260.0,148264.5599269867
7120,4700000,362.2,1260.0,148614.57140612602
7136,4710000,356.55,1260.0,148948.00566411018
7152,4720000,347.05,1145.0,149304.84220004082
7168,4730000,342.3,1145.0,149641.84658813477
7180,4740000,357.75,1145.0,149978.30414509773
7193,4750000,362.4,1135.0,150314.32715201378
7207,4760000,362.6,1135.0,150650.93256902695
7221,4770000,340.9,1135.0,150992.21202111244
7237,4780000,339.55,1135.0,151322.76638412476
7250,4790000,350.15,1135.0,151653.147231102
7265,4800000,347.45,1135.0,151984.69566512108
7280,4810000,346.7,1135.0,152316.2039990425
7292,4820000,346.85,940.0,152648.12789201736
7305,4830000,352.75,940.0,152981.89638113976
7318,4840000,366.85,940.0,153317.12431907654
7333,4850000,369.1,940.0,153651.9203429222
7346,4860000,378.75,940.0,153985.62783813477
7361,4870000,376.45,940.0,154319.56942605972
7377,4880000,367.7,940.0,154652.27186512947
7394,4890000,337.05,765.0,154984.9846379757
7410,4900000,333.65,765.0,155314.5951590538
7425,4910000,332.05,745.0,155643.1073589325
7440,4920000,324.55,745.0,155972.7085700035
7452,4930000,330.6,675.0,156302.47536492348
7468,4940000,325.4,675.0,156632.26184391975
7481,4950000,339.1,675.0,156962.24534511566
7495,4960000,354.15,830.0,157291.2248699665
7507,4970000,363.8,830.0,157621.01942110062
7522,4980000,356.7,830.0,157949.4632139206
7536,4990000,357.0,830.0,158277.99919605255
7548,5000000,362.7,830.0,158607.13596606255
7564,5010000,354.0,830.0,158937.10048413277
7578,5020000,338.2,830.0,159266.73416614532
7593,5030000,334.45,945.0,159596.43238902092
7606,5040000,328.7,945.0,159927.1145939827
7618,5050000,334.1,945.0,160256.67107510567
7630,5060000,345.65,945.0,160585.0518860817
7643,5070000,344.85,945.0,160913.89267492294
7659,5080000,347.35,945.0,161244.2436311245
