episode,frame,running_reward,max_reward,time
8764,5850000,321.1,745.0,187007.0282099247
8777,5860000,331.2,760.0,187338.42774391174
8789,5870000,339.65,760.0,187669.64181113243
8802,5880000,342.3,760.0,188001.38054203987
8818,5890000,335.4,760.0,188334.93125200272
8831,5900000,343.75,760.0,188667.97994494438
8844,5910000,362.75,760.0,189002.62017512321
8858,5920000,379.4,790.0,189334.89288806915
8874,5930000,363.75,790.0,189668.45827913284
8886,5940000,367.05,790.0,190001.97703313828
8900,5950000,358.8,790.0,190336.107131958
8913,5960000,362.0,790.0,190669.7105360031
8928,5970000,358.55,790.0,191003.42182707787
8941,5980000,349.7,790.0,191337.75062704086
8955,5990000,334.85,715.0,191672.13336610794
8969,6000000,337.15,630.0,192006.09023308754
8984,6010000,338.05,625.0,192339.07577109337
8998,6020000,346.55,650.0,192671.99748396873
9013,6030000,345.8,720.0,193007.4290421009
9029,6040000,345.75,720.0,193341.2400290966
9042,6050000,345.25,720.0,193674.50368595123
9056,6060000,349.8,720.0,194008.70137405396
9072,6070000,346.5,745.0,194343.41351413727
9088,6080000,332.4,745.0,194678.34516501427
9102,6090000,326.85,745.0,195013.52647209167
9115,6100000,330.05,745.0,195348.6908531189
9129,6110000,339.0,745.0,195684.17310905457
9145,6120000,337.45,745.0,196019.01579594612
9162,6130000,334.5,745.0,196355.16788506508
9178,6140000,328.35,755.0,196690.74248600006
9191,6150000,342.45,755.0,197026.10675692558
9208,6160000,330.45,755.0,197362.3571240902
9222,6170000,329.95,755.0,197697.60443496704
9238,6180000,319.35,755.0,198032.84997606277
9253,6190000,322.8,755.0,198367.16163611412
9267,6200000,339.0,805.0,198701.21289896965
9282,6210000,337.5,805.0,199035.38425803185
9295,6220000,341.7,1015.0,199368.59531712532
9310,6230000,342.75,1015.0,199701.80979394913
9324,6240000,347.65,1015.0,200034.47814893723
9337,6250000,359.95,1015.0,200367.56053614616
9352,6260000,364.2,1015.0,200700.55399107933
