episode,frame,running_reward,max_reward,time
12166,8290000,359.8,840.0,273596.6907250881
12179,8300000,356.5,840.0,273949.6222290993
12193,8310000,352.9,840.0,274301.6068279743
12207,8320000,351.0,840.0,274657.70587801933
12219,8330000,354.9,700.0,275015.1581029892
12233,8340000,357.8,700.0,275379.7180609703
12247,8350000,362.05,700.0,275733.113517046
12260,8360000,368.8,735.0,276089.0909500122
12272,8370000,370.95,735.0,276447.74409508705
12285,8380000,387.7,735.0,276800.9246790409
12297,8390000,389.15,870.0,277154.19330596924
12310,8400000,392.0,870.0,277510.77594304085
12322,8410000,389.6,870.0,277866.34667396545
12337,8420000,389.85,870.0,278222.71566700935
12350,8430000,396.05,870.0,278576.0158801079
12366,8440000,386.2,870.0,278928.742800951
12380,8450000,377.65,870.0,279280.46553111076
12394,8460000,370.7,810.0,279637.5512211323
12408,8470000,368.05,810.0,279992.9973399639
12422,8480000,356.85,805.0,280347.61546111107
12436,8490000,358.45,800.0,280701.9793291092
12449,8500000,356.5,830.0,281055.25553011894
12463,8510000,359.0,830.0,281408.8444509506
12479,8520000,359.4,830.0,281762.74622797966
12491,8530000,357.25,830.0,282115.90275001526
12505,8540000,359.2,830.0,282474.270870924
12520,8550000,352.65,830.0,282827.48629903793
12532,8560000,368.2,830.0,283185.3678820133
12545,8570000,367.5,830.0,283540.71013212204
12561,8580000,361.8,815.0,283898.03495693207
12577,8590000,359.3,835.0,284256.152326107
12590,8600000,366.7,835.0,284611.45388293266
12605,8610000,357.65,835.0,284965.99110102654
12620,8620000,360.15,835.0,285320.85235595703
12635,8630000,344.3,835.0,285672.4458479881
12650,8640000,341.65,835.0,286030.34757494926
12666,8650000,321.9,630.0,286390.7350320816
12681,8660000,325.8,665.0,286746.6051120758
12695,8670000,324.85,665.0,287098.5124120712
12707,8680000,330.25,695.0,287452.94014692307
12721,8690000,328.7,695.0,287809.1963169575
12736,8700000,325.05,695.0,288166.00481009483
12750,8710000,342.95,875.0,288518.2018940449
12763,8720000,350.4,905.0,288871.70370292664
12777,8730000,362.6,905.0,289225.76406908035
12792,8740000,352.25,905.0,289578.64058709145
12808,8750000,340.35,905.0,289934.6138961315
12822,8760000,337.2,905.0,290295.445841074
12836,8770000,346.1,905.0,290652.76842308044
12852,8780000,337.65,910.0,291016.2659380436
12865,8790000,340.4,910.0,291375.4689900875
12879,8800000,345.15,910.0,291733.72253108025
12894,8810000,349.3,910.0,292093.18451595306
12908,8820000,348.75,910.0,292451.227257967
12919,8830000,362.35,910.0,292809.77127599716
12933,8840000,364.7,910.0,293171.3652329445
12947,8850000,362.15,890.0,293529.0819981098
12963,8860000,357.1,890.0,293893.0717520714
12978,8870000,335.55,805.0,294252.90704512596
12990,8880000,346.1,805.0,294611.26894903183
13005,8890000,354.9,805.0,294977.13405799866
13020,8900000,336.65,805.0,295334.88031196594
13036,8910000,325.4,805.0,295691.54745292664
13050,8920000,319.95,630.0,296049.9646990299
13062,8930000,333.95,630.0,296408.23536396027
13077,8940000,337.9,630.0,296769.55821204185
13091,8950000,330.6,630.0,297129.628893137
13105,8960000,332.3,630.0,297492.6705620289
13119,8970000,341.2,955.0,297851.28303694725
13133,8980000,347.65,955.0,298212.98802900314
13148,8990000,350.85,955.0,298573.53944706917
13163,9000000,338.0,955.0,298932.71783304214
13176,9010000,348.1,955.0,299291.4403851032
13191,9020000,350.05,955.0,299650.3041751385
13207,9030000,344.15,955.0,300011.01933407784
13221,9040000,343.25,895.0,300371.1094710827
13234,9050000,346.05,895.0,300732.14282512665
13247,9060000,351.45,895.0,301097.25317907333
13262,9070000,360.5,980.0,301463.1707019806
13278,9080000,348.9,980.0,301835.9996199608
13294,9090000,338.35,980.0,302208.517373085
13306,9100000,345.85,980.0,302596.3555190563
13320,9110000,355.85,980.0,302968.47673892975
13334,9120000,356.3,980.0,303347.8426349163
13348,9130000,352.55,980.0,303724.21408700943
13364,9140000,343.15,705.0,304104.59968805313
13378,9150000,353.2,705.0,304466.8181209564
13392,9160000,360.0,775.0,304832.9721810818
13406,9170000,359.45,775.0,305199.0485560894
13421,9180000,346.8,775.0,305562.46373295784
13434,9190000,351.75,775.0,305931.36026096344
13447,9200000,357.75,775.0,306302.48854613304
13462,9210000,356.9,775.0,306666.5542640686
13477,9220000,356.95,875.0,307032.63576102257
13492,9230000,350.75,875.0,307407.73134207726
13506,9240000,349.85,875.0,307767.057749033
13520,9250000,357.75,875.0,308138.6138701439
13536,9260000,342.75,875.0,308504.9281990528
13551,9270000,331.15,875.0,308868.7965450287
13566,9280000,336.4,875.0,309230.58262109756
13581,9290000,339.5,760.0,309594.0296781063
13597,9300000,342.45,760.0,309955.82389211655
13610,9310000,338.05,760.0,310318.5532231331
13624,9320000,335.6,760.0,310682.30703401566
13639,9330000,345.9,940.0,311045.4785101414
13656,9340000,332.75,940.0,311407.8686029911
13670,9350000,331.8,940.0,311771.594630003
13685,9360000,324.95,940.0,312134.73313498497
13702,9370000,313.05,940.0,312498.5008621216
13715,9380000,318.15,940.0,312866.43731713295
13729,9390000,317.45,940.0,313229.68682312965
13742,9400000,321.35,745.0,313595.1390490532
13753,9410000,345.4,1005.0,313958.17789912224
13769,9420000,349.4,1005.0,314321.167979002
13783,9430000,367.15,1005.0,314686.26588106155
13795,9440000,380.5,1005.0,315048.55047798157
13807,9450000,394.95,1005.0,315422.2680220604
13822,9460000,392.2,1005.0,315791.5240371227
13835,9470000,391.95,1005.0,316157.42032909393
13848,9480000,377.9,800.0,316522.8626050949
13864,9490000,375.4,800.0,316885.06483507156
13878,9500000,374.4,800.0,317248.50761199
13892,9510000,364.6,800.0,317611.09339404106
13906,9520000,358.7,800.0,317973.2538230419
13917,9530000,368.45,810.0,318333.0118689537
13932,9540000,375.65,810.0,318692.7205030918
13946,9550000,378.65,810.0,319058.35120105743
13960,9560000,377.9,810.0,319419.6215031147
13975,9570000,376.5,815.0,319784.4373700619
13990,9580000,373.05,815.0,320146.0511100292
14006,9590000,360.5,815.0,320511.4427540302
14020,9600000,346.0,815.0,320874.4576461315
14034,9610000,332.85,815.0,321238.0105330944
14047,9620000,339.0,815.0,321604.7284629345
14059,9630000,348.2,845.0,321968.9476079941
14074,9640000,348.7,845.0,322332.6765470505
14090,9650000,349.75,845.0,322697.05692100525
14106,9660000,351.25,845.0,323061.4395070076
14118,9670000,359.85,845.0,323426.6260249615
14132,9680000,364.45,845.0,323796.3221409321
14147,9690000,354.25,845.0,324161.57596206665
14162,9700000,342.35,705.0,324530.6390271187
14177,9710000,342.6,705.0,324896.10076498985
14187,9720000,359.85,745.0,325268.41106796265
14201,9730000,364.1,745.0,325647.5473730564
14214,9740000,366.45,750.0,326036.73315501213
14229,9750000,357.75,750.0,326424.90004611015
14246,9760000,351.7,750.0,326810.4244251251
14260,9770000,357.4,750.0,327187.1875119209
14274,9780000,358.35,750.0,327553.92894506454
14286,9790000,352.4,750.0,327920.5936219692
14299,9800000,360.2,750.0,328286.98495292664
14313,9810000,351.6,780.0,328656.9188570976
14326,9820000,359.85,780.0,329022.64270710945
14342,9830000,354.2,780.0,329388.5859351158
14358,9840000,344.5,780.0,329757.9150071144
14372,9850000,343.25,780.0,330124.3329949379
14384,9860000,357.45,780.0,330491.5220351219
14399,9870000,343.1,780.0,330859.0654900074
14413,9880000,346.25,775.0,331226.82747507095
14428,9890000,340.75,775.0,331597.80827498436
14442,9900000,349.75,775.0,331964.8917040825
14456,9910000,364.65,775.0,332336.3496160507
14470,9920000,369.9,775.0,332705.6884460449
14485,9930000,346.45,775.0,333077.2903430462
14499,9940000,349.85,775.0,333447.50331807137
14512,9950000,343.45,775.0,333814.265969038
14526,9960000,351.55,705.0,334181.1773970127
14540,9970000,346.85,705.0,334547.35521507263
14554,9980000,337.8,685.0,334914.9071791172
14568,9990000,333.35,665.0,335283.3975441456
14582,10000000,333.75,665.0,335653.55413913727
14600,10010000,321.95,670.0,336020.10192108154
14617,10020000,314.3,985.0,336389.84843301773
14630,10030000,316.35,985.0,336755.15259099007
14644,10040000,325.65,985.0,337124.99709391594
14657,10050000,326.3,985.0,337492.60021805763
14672,10060000,321.85,985.0,337861.165596962
14684,10070000,331.45,985.0,338229.7423801422
